location,size,total_sqft,bath,price,bhk,price_per_sqft
Greater Faridabad,3 Bedroom,600.0,3.0,125.0,3,20833.333333333332
Greater Faridabad,3 Bedroom,600.0,4.0,125.0,3,20833.333333333332
Greater Faridabad,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
Greater Faridabad,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
Greater Faridabad,6 BHK,1200.0,6.0,125.0,6,10416.666666666666
Greater Faridabad,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
Greater Faridabad,4 Bedroom,2400.0,4.0,450.0,4,18750.0
Greater Faridabad,2 BHK,1000.0,3.0,60.0,2,6000.0
Greater Faridabad,7 Bedroom,930.0,4.0,85.0,7,9139.78494623656
Greater Faridabad,8 Bedroom,700.0,4.0,104.0,8,14857.142857142857
Greater Faridabad,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
Greater Faridabad,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
Greater Faridabad,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
Greater Faridabad,3 BHK,1760.0,3.0,115.0,3,6534.090909090909
Greater Faridabad,8 Bedroom,1700.0,3.0,50.0,8,2941.176470588235
Greater Faridabad,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
Greater Faridabad,2 BHK,1415.0,2.0,110.0,2,7773.851590106007
Greater Faridabad,4 Bedroom,2360.0,4.0,600.0,4,25423.728813559323
Greater Faridabad,2 BHK,860.0,2.0,65.5,2,7616.279069767442
Greater Faridabad,4 BHK,3000.0,3.0,300.0,4,10000.0
Greater Faridabad,3 BHK,2350.0,3.0,210.0,3,8936.170212765957
Greater Faridabad,3 BHK,1800.0,3.0,53.0,3,2944.4444444444443
Greater Faridabad,4 Bedroom,2360.0,4.0,601.0,4,25466.101694915254
Greater Faridabad,2 BHK,1000.0,2.0,45.0,2,4500.0
Greater Faridabad,4 BHK,3000.0,5.0,500.0,4,16666.666666666668
Greater Faridabad,4 Bedroom,1200.0,5.0,350.0,4,29166.666666666668
Greater Faridabad,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
Greater Faridabad,8 Bedroom,1200.0,7.0,240.0,8,20000.0
Greater Faridabad,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
Greater Faridabad,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
Greater Faridabad,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
Greater Faridabad,3 BHK,2024.0,3.0,157.0,3,7756.916996047431
Greater Faridabad,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
Greater Faridabad,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
Greater Faridabad,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
Greater Faridabad,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
Greater Faridabad,1 BHK,840.0,2.0,50.0,1,5952.380952380952
Greater Faridabad,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
Greater Faridabad,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
Greater Faridabad,2 BHK,1180.0,2.0,88.5,2,7500.0
Greater Faridabad,5 Bedroom,2200.0,7.0,350.0,5,15909.09090909091
Greater Faridabad,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
Greater Faridabad,4 Bedroom,1200.0,4.0,300.0,4,25000.0
Greater Faridabad,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
Greater Faridabad,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
Greater Faridabad,4 BHK,4550.0,2.0,240.0,4,5274.725274725275
Greater Faridabad,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
Greater Faridabad,4 Bedroom,1900.0,3.0,400.0,4,21052.63157894737
Greater Faridabad,4 BHK,2615.0,5.0,222.0,4,8489.483747609942
Greater Faridabad,2 BHK,900.0,2.0,75.0,2,8333.333333333334
Greater Faridabad,3 BHK,1350.0,2.0,65.0,3,4814.814814814815
Greater Faridabad,2 BHK,1400.0,2.0,67.0,2,4785.714285714285
Greater Faridabad,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
Greater Faridabad,2 BHK,940.0,2.0,56.0,2,5957.446808510638
Greater Faridabad,4 BHK,3000.0,4.0,301.0,4,10033.333333333334
Greater Faridabad,4 Bedroom,2400.0,4.0,500.0,4,20833.333333333332
Greater Faridabad,6 Bedroom,1790.0,5.0,250.0,6,13966.480446927375
Greater Faridabad,27 BHK,8000.0,27.0,230.0,27,2875.0
Greater Faridabad,3 BHK,1625.0,3.0,92.0,3,5661.538461538462
Greater Faridabad,3 BHK,1625.0,3.0,92.0,3,5661.538461538462
Greater Faridabad,5 Bedroom,950.0,5.0,55.0,5,5789.473684210527
Greater Faridabad,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
Greater Faridabad,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
Greater Faridabad,3 BHK,1550.0,3.0,110.0,3,7096.774193548387
Greater Faridabad,5 Bedroom,1250.0,5.0,300.0,5,24000.0
Greater Faridabad,3 Bedroom,4273.0,3.0,1100.0,3,25743.037678446057
Greater Faridabad,4 Bedroom,1050.0,6.0,74.0,4,7047.619047619048
Greater Faridabad,4 Bedroom,1350.0,4.0,235.0,4,17407.40740740741
Greater Faridabad,6 Bedroom,825.0,6.0,400.0,6,48484.84848484849
Greater Faridabad,3 BHK,1718.0,3.0,223.0,3,12980.209545983702
Greater Faridabad,4 Bedroom,4920.0,5.0,1150.0,4,23373.983739837397
Greater Faridabad,2 BHK,1000.0,2.0,97.0,2,9700.0
Greater Faridabad,7 Bedroom,5400.0,5.0,972.0,7,18000.0
Greater Faridabad,3 Bedroom,3000.0,3.0,550.0,3,18333.333333333332
Greater Faridabad,3 Bedroom,2610.0,3.0,499.0,3,19118.773946360154
Greater Faridabad,5 BHK,2800.0,4.0,200.0,5,7142.857142857143
Greater Faridabad,2 BHK,1000.0,1.0,55.0,2,5500.0
Greater Faridabad,8 Bedroom,1350.0,8.0,185.0,8,13703.703703703704
Greater Faridabad,3 Bedroom,1200.0,3.0,190.0,3,15833.333333333334
Greater Faridabad,6 Bedroom,900.0,6.0,170.0,6,18888.88888888889
Greater Faridabad,2 BHK,1040.0,2.0,78.0,2,7500.0
Greater Faridabad,2 BHK,850.0,2.0,42.5,2,5000.0
Greater Faridabad,2 BHK,1070.0,2.0,38.0,2,3551.4018691588785
Greater Faridabad,3 Bedroom,1200.0,3.0,205.0,3,17083.333333333332
Greater Faridabad,3 BHK,1450.0,2.0,50.75,3,3500.0
Greater Faridabad,2 BHK,1150.0,2.0,40.25,2,3500.0
Greater Faridabad,1 BHK,525.0,1.0,26.0,1,4952.380952380952
Greater Faridabad,3 BHK,1300.0,3.0,64.0,3,4923.076923076923
Greater Faridabad,3 BHK,1350.0,2.0,47.25,3,3500.0
Greater Faridabad,3 BHK,1350.0,2.0,47.25,3,3500.0
Greater Faridabad,2 BHK,700.0,2.0,35.0,2,5000.0
Greater Faridabad,2 BHK,900.0,2.0,41.0,2,4555.555555555556
Greater Faridabad,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
Greater Faridabad,3 BHK,1350.0,2.0,47.25,3,3500.0
Greater Faridabad,2 BHK,1150.0,2.0,40.25,2,3500.0
Greater Faridabad,4 Bedroom,1200.0,4.0,130.0,4,10833.333333333334
Greater Faridabad,4 Bedroom,1200.0,4.0,235.0,4,19583.333333333332
Greater Faridabad,3 BHK,2095.0,3.0,142.0,3,6778.042959427207
Greater Faridabad,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
Greater Faridabad,6 Bedroom,3000.0,8.0,451.0,6,15033.333333333334
Greater Faridabad,6 Bedroom,2400.0,8.0,450.0,6,18750.0
Greater Faridabad,4 Bedroom,1200.0,4.0,245.0,4,20416.666666666668
Greater Faridabad,5 Bedroom,1200.0,4.0,285.0,5,23750.0
Greater Faridabad,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,4 Bedroom,600.0,3.0,95.0,4,15833.333333333334
Greater Faridabad,3 Bedroom,600.0,4.0,100.0,3,16666.666666666668
Greater Faridabad,4 Bedroom,1200.0,4.0,225.0,4,18750.0
Greater Faridabad,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
Greater Faridabad,4 Bedroom,3000.0,3.0,170.0,4,5666.666666666667
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,5 Bedroom,1200.0,5.0,290.0,5,24166.666666666668
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,5 Bedroom,4000.0,4.0,240.0,5,6000.0
Greater Faridabad,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
Greater Faridabad,4 Bedroom,600.0,3.0,84.0,4,14000.0
Greater Faridabad,4 Bedroom,600.0,3.0,82.0,4,13666.666666666666
Greater Faridabad,3 Bedroom,600.0,5.0,135.0,3,22500.0
Greater Faridabad,6 Bedroom,1500.0,4.0,233.0,6,15533.333333333334
Greater Faridabad,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Greater Faridabad,4 Bedroom,1700.0,2.0,550.0,4,32352.941176470587
Greater Faridabad,6 Bedroom,2400.0,8.0,650.0,6,27083.333333333332
Greater Faridabad,4 Bedroom,1200.0,4.0,175.0,4,14583.333333333334
Greater Faridabad,3 BHK,1626.6,3.0,133.0,3,8176.564613303824
Greater Faridabad,5 Bedroom,2400.0,4.0,325.0,5,13541.666666666666
Greater Faridabad,3 Bedroom,2000.0,3.0,100.0,3,5000.0
Greater Faridabad,5 Bedroom,1200.0,5.0,190.0,5,15833.333333333334
Greater Faridabad,2 BHK,1056.0,2.0,80.0,2,7575.757575757576
Greater Faridabad,4 Bedroom,1200.0,3.0,210.0,4,17500.0
Greater Faridabad,2 Bedroom,1200.0,2.0,200.0,2,16666.666666666668
Greater Faridabad,2 BHK,1320.0,2.0,90.0,2,6818.181818181818
Greater Faridabad,2 BHK,1300.0,2.0,95.0,2,7307.692307692308
Greater Faridabad,3 BHK,1650.0,3.0,140.0,3,8484.848484848484
Greater Faridabad,2 BHK,1000.0,2.0,130.0,2,13000.0
Greater Faridabad,3 BHK,1350.0,2.0,140.0,3,10370.37037037037
Greater Faridabad,3 BHK,2150.0,3.0,240.0,3,11162.790697674418
Greater Faridabad,3 BHK,1750.0,3.0,170.0,3,9714.285714285714
Greater Faridabad,3 BHK,2100.0,3.0,270.0,3,12857.142857142857
Greater Faridabad,2 BHK,1145.0,2.0,63.0,2,5502.183406113537
Greater Faridabad,3 BHK,1550.0,2.0,79.0,3,5096.774193548387
Greater Faridabad,3 BHK,2400.0,3.0,270.0,3,11250.0
Greater Faridabad,4 BHK,4500.0,4.0,345.0,4,7666.666666666667
Greater Faridabad,2 BHK,1300.0,3.0,65.0,2,5000.0
Greater Faridabad,4 Bedroom,10961.0,4.0,80.0,4,729.8604141957851
Greater Faridabad,5 Bedroom,1200.0,5.0,138.0,5,11500.0
Greater Faridabad,2 BHK,900.0,2.0,70.0,2,7777.777777777777
Greater Faridabad,3 BHK,2005.0,3.0,240.0,3,11970.074812967581
Greater Faridabad,3 BHK,1567.2,2.0,190.0,3,12123.532414497193
Greater Faridabad,7 Bedroom,2240.0,4.0,700.0,7,31250.0
Greater Faridabad,2 BHK,1225.0,2.0,150.0,2,12244.897959183674
Greater Faridabad,4 Bedroom,2400.0,4.0,500.0,4,20833.333333333332
Greater Faridabad,4 Bedroom,2400.0,4.0,550.0,4,22916.666666666668
Greater Faridabad,9 BHK,4500.0,9.0,500.0,9,11111.111111111111
Greater Faridabad,3 BHK,1800.0,3.0,140.0,3,7777.777777777777
Greater Faridabad,4 BHK,3400.0,6.0,420.0,4,12352.941176470587
Greater Faridabad,4 Bedroom,2400.0,5.0,180.0,4,7500.0
Greater Faridabad,4 Bedroom,2400.0,4.0,600.0,4,25000.0
Greater Faridabad,2 BHK,1269.0,2.0,97.0,2,7643.81402679275
Greater Faridabad,5 Bedroom,2250.0,5.0,360.0,5,16000.0
Greater Faridabad,2 BHK,1070.0,2.0,38.9,2,3635.5140186915887
Greater Faridabad,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
Greater Faridabad,2 BHK,600.0,4.0,70.0,2,11666.666666666666
Greater Faridabad,3 BHK,2401.0,3.0,185.0,3,7705.12286547272
Greater Faridabad,4 BHK,3900.0,4.0,333.0,4,8538.461538461539
Greater Faridabad,4 Bedroom,2080.0,4.0,440.0,4,21153.846153846152
Greater Faridabad,4 Bedroom,1550.0,4.0,120.0,4,7741.935483870968
Greater Faridabad,4 Bedroom,2400.0,4.0,480.0,4,20000.0
Greater Faridabad,3 BHK,2100.0,3.0,220.0,3,10476.190476190477
Greater Faridabad,3 BHK,2400.0,3.0,185.0,3,7708.333333333333
Greater Faridabad,6 Bedroom,1200.0,6.0,250.0,6,20833.333333333332
Greater Faridabad,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
Greater Faridabad,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
Greater Faridabad,5 Bedroom,1200.0,6.0,220.0,5,18333.333333333332
Greater Faridabad,4 Bedroom,1200.0,4.0,205.0,4,17083.333333333332
Greater Faridabad,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
Greater Faridabad,9 Bedroom,2600.0,12.0,675.0,9,25961.53846153846
Greater Faridabad,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Greater Faridabad,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
Greater Faridabad,5 BHK,1200.0,5.0,205.0,5,17083.333333333332
Greater Faridabad,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
Greater Faridabad,5 Bedroom,1200.0,5.0,205.0,5,17083.333333333332
Greater Faridabad,1 Bedroom,1500.0,1.0,300.0,1,20000.0
Greater Faridabad,3 Bedroom,500.0,2.0,75.0,3,15000.0
Greater Faridabad,4 Bedroom,10624.0,4.0,2340.0,4,22025.602409638555
Greater Faridabad,4 BHK,4000.0,4.0,520.0,4,13000.0
Greater Faridabad,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
Greater Faridabad,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
Greater Faridabad,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
Greater Faridabad,9 Bedroom,1260.0,11.0,290.0,9,23015.873015873014
Greater Faridabad,2 BHK,1256.0,2.0,62.8,2,5000.0
Greater Faridabad,9 Bedroom,812.0,6.0,165.0,9,20320.197044334975
Greater Faridabad,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
Greater Faridabad,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
Greater Faridabad,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
Greater Faridabad,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
Greater Faridabad,2 BHK,1450.0,2.0,58.0,2,4000.0
Greater Faridabad,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
Greater Faridabad,3 BHK,1485.0,2.0,67.0,3,4511.784511784512
Greater Faridabad,5 BHK,2500.0,5.0,110.0,5,4400.0
Greater Faridabad,1 BHK,600.0,1.0,30.0,1,5000.0
Greater Faridabad,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
Greater Faridabad,2 BHK,1256.0,2.0,62.8,2,5000.0
Greater Faridabad,2 BHK,1220.0,2.0,88.0,2,7213.11475409836
Greater Faridabad,2 BHK,1000.0,2.0,48.0,2,4800.0
Greater Faridabad,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
Greater Faridabad,1 BHK,552.0,1.0,23.5,1,4257.246376811594
Greater Faridabad,2 BHK,1200.0,2.0,51.0,2,4250.0
Greater Faridabad,3 BHK,1240.0,3.0,60.0,3,4838.709677419355
Greater Faridabad,3 BHK,1550.0,3.0,75.0,3,4838.709677419355
Greater Faridabad,3 BHK,1485.0,2.0,66.0,3,4444.444444444444
Greater Faridabad,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
Greater Faridabad,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
Greater Faridabad,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
Greater Faridabad,5 BHK,4000.0,5.0,170.0,5,4250.0
Greater Faridabad,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
Greater Faridabad,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
Greater Faridabad,2 BHK,812.0,2.0,42.0,2,5172.413793103448
Greater Faridabad,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
Greater Faridabad,3 BHK,1450.0,2.0,73.0,3,5034.482758620689
Greater Faridabad,8 Bedroom,1200.0,7.0,250.0,8,20833.333333333332
Greater Faridabad,7 BHK,2500.0,8.0,95.0,7,3800.0
Greater Faridabad,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
Greater Faridabad,4 Bedroom,1000.0,4.0,130.0,4,13000.0
Greater Faridabad,4 Bedroom,2400.0,4.0,228.0,4,9500.0
Greater Faridabad,3 BHK,2000.0,3.0,85.0,3,4250.0
Greater Faridabad,3 BHK,2000.0,3.0,85.0,3,4250.0
Greater Faridabad,4 Bedroom,1200.0,5.0,325.0,4,27083.333333333332
Greater Faridabad,3 Bedroom,4000.0,3.0,660.0,3,16500.0
Greater Faridabad,3 BHK,2100.0,4.0,255.0,3,12142.857142857143
Greater Faridabad,3 BHK,2350.0,3.0,400.0,3,17021.27659574468
Greater Faridabad,3 BHK,1450.0,2.0,89.6,3,6179.310344827586
Greater Faridabad,2 BHK,1117.0,2.0,110.0,2,9847.806624888093
Greater Faridabad,5 Bedroom,1200.0,5.0,300.0,5,25000.0
Greater Faridabad,3 BHK,3000.0,3.0,400.0,3,13333.333333333334
Greater Faridabad,4 BHK,3200.0,3.0,190.0,4,5937.5
Greater Faridabad,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
Greater Faridabad,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
Greater Faridabad,3 Bedroom,600.0,2.0,100.0,3,16666.666666666668
Greater Faridabad,4 BHK,3245.0,4.0,250.0,4,7704.160246533128
Greater Faridabad,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
Greater Faridabad,2 BHK,1280.0,2.0,56.0,2,4375.0
Greater Faridabad,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
Greater Faridabad,8 Bedroom,1650.0,6.0,135.0,8,8181.818181818182
Greater Faridabad,1 Bedroom,600.0,1.0,75.0,1,12500.0
Greater Faridabad,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
Greater Faridabad,2 BHK,1213.0,2.0,63.0,2,5193.734542456719
Greater Faridabad,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
Greater Faridabad,3 BHK,1350.0,2.0,58.0,3,4296.2962962962965
Greater Faridabad,2 BHK,1170.0,2.0,120.0,2,10256.410256410256
Greater Faridabad,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
Greater Faridabad,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
Greater Faridabad,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
Greater Faridabad,3 BHK,1250.0,3.0,48.9,3,3912.0
Greater Faridabad,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
Greater Faridabad,1 BHK,750.0,1.0,105.0,1,14000.0
Greater Faridabad,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
Greater Faridabad,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
Greater Faridabad,2 BHK,1280.0,2.0,88.0,2,6875.0
Greater Faridabad,5 Bedroom,3000.0,3.0,528.0,5,17600.0
Greater Faridabad,4 Bedroom,2400.0,3.0,480.0,4,20000.0
Greater Faridabad,3 BHK,1707.0,3.0,171.0,3,10017.574692442882
Greater Faridabad,3 Bedroom,2400.0,3.0,408.0,3,17000.0
Greater Faridabad,3 BHK,1903.0,2.0,293.0,3,15396.741986337362
Greater Faridabad,6 Bedroom,600.0,5.0,130.0,6,21666.666666666668
Greater Faridabad,2 BHK,1000.0,2.0,38.0,2,3800.0
Greater Faridabad,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
Greater Faridabad,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
Greater Faridabad,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
Greater Faridabad,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Greater Faridabad,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
Greater Faridabad,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
Greater Faridabad,8 Bedroom,1200.0,8.0,250.0,8,20833.333333333332
Greater Faridabad,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
Greater Faridabad,4 BHK,3600.0,4.0,400.0,4,11111.111111111111
Greater Faridabad,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
Greater Faridabad,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
Greater Faridabad,2 BHK,1100.0,2.0,46.0,2,4181.818181818182
Greater Faridabad,2 BHK,918.0,2.0,50.49,2,5500.0
Greater Faridabad,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
Greater Faridabad,2 BHK,1040.0,2.0,39.52,2,3800.0000000000005
Greater Faridabad,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
Greater Faridabad,2 BHK,1190.0,2.0,49.98,2,4200.0
Greater Faridabad,3 Bedroom,1500.0,3.0,170.0,3,11333.333333333334
Greater Faridabad,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
Greater Faridabad,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
Greater Faridabad,2 BHK,1050.0,2.0,42.0,2,4000.0
Greater Faridabad,2 BHK,980.0,2.0,69.0,2,7040.816326530612
Greater Faridabad,2 BHK,1035.0,2.0,41.39,2,3999.0338164251207
Greater Faridabad,2 BHK,1370.0,2.0,56.17,2,4100.0
Greater Faridabad,2 BHK,1180.0,2.0,72.0,2,6101.6949152542375
Greater Faridabad,6 BHK,5080.0,7.0,450.0,6,8858.267716535433
Greater Faridabad,3 BHK,1300.0,2.0,52.0,3,4000.0
Greater Faridabad,3 BHK,1050.0,2.0,57.0,3,5428.571428571428
Greater Faridabad,3 BHK,1343.0,2.0,56.41,3,4200.297840655249
Greater Faridabad,3 BHK,1405.0,2.0,59.01,3,4200.0
Greater Faridabad,3 BHK,1400.0,3.0,115.0,3,8214.285714285714
Greater Faridabad,2 BHK,1075.0,2.0,42.99,2,3999.0697674418607
Greater Faridabad,2 BHK,1100.0,2.0,44.0,2,4000.0
Greater Faridabad,2 BHK,1270.0,2.0,83.0,2,6535.433070866142
Greater Faridabad,4 Bedroom,3300.0,4.0,150.0,4,4545.454545454545
Greater Faridabad,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
Greater Faridabad,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
Greater Faridabad,2 BHK,1035.0,2.0,39.33,2,3800.0
Greater Faridabad,3 BHK,1250.0,3.0,65.0,3,5200.0
Greater Faridabad,2 BHK,1050.0,2.0,42.0,2,4000.0
Greater Faridabad,4 Bedroom,1500.0,5.0,220.0,4,14666.666666666666
